Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,14,,
Data,0,file_id,type,"4",,time_created,"1059019954",,manufacturer,"23",,product,"42",,product_name,"Suunto 9 Peak",,
Definition,0,developer_data_id,developer_data_index,1,,application_id,16,,,,,,,,,,,
Data,2,record,timestamp,"1059012919",s,distance,"61.0",m,altitude,"145.39999999999998",m,cadence,"52",rpm,speed,"1.7",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"145.39999999999998",m,enhanced_speed,"1.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012920",s,distance,"63.0",m,heart_rate,"103",bpm,altitude,"145.39999999999998",m,cadence,"52",rpm,speed,"1.7",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"145.39999999999998",m,enhanced_speed,"1.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012921",s,distance,"64.0",m,altitude,"146.0",m,cadence,"52",rpm,speed,"1.68",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"146.0",m,enhanced_speed,"1.68",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012922",s,distance,"66.0",m,heart_rate,"104",bpm,altitude,"146.0",m,cadence,"52",rpm,speed,"1.68",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"146.0",m,enhanced_speed,"1.68",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012923",s,distance,"68.0",m,altitude,"146.0",m,cadence,"52",rpm,speed,"1.7",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"146.0",m,enhanced_speed,"1.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012924",s,distance,"70.0",m,heart_rate,"104",bpm,altitude,"146.0",m,cadence,"60",rpm,speed,"1.7",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"146.0",m,enhanced_speed,"1.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012925",s,distance,"72.0",m,altitude,"146.60000000000002",m,cadence,"46",rpm,speed,"1.72",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"146.60000000000002",m,enhanced_speed,"1.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012926",s,distance,"73.0",m,heart_rate,"103",bpm,altitude,"146.79999999999995",m,cadence,"46",rpm,speed,"1.72",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"146.79999999999995",m,enhanced_speed,"1.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012927",s,distance,"75.0",m,altitude,"147.0",m,cadence,"41",rpm,speed,"1.68",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"147.0",m,enhanced_speed,"1.68",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012928",s,distance,"76.0",m,heart_rate,"102",bpm,altitude,"147.0",m,cadence,"49",rpm,speed,"1.68",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"147.0",m,enhanced_speed,"1.68",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012929",s,distance,"78.0",m,altitude,"147.0",m,cadence,"49",rpm,speed,"1.68",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"147.0",m,enhanced_speed,"1.68",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012930",s,distance,"80.0",m,heart_rate,"104",bpm,altitude,"147.39999999999998",m,cadence,"49",rpm,speed,"1.68",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"147.39999999999998",m,enhanced_speed,"1.68",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012931",s,distance,"82.0",m,altitude,"147.39999999999998",m,cadence,"49",rpm,speed,"1.7",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"147.39999999999998",m,enhanced_speed,"1.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012932",s,distance,"83.0",m,heart_rate,"104",bpm,altitude,"147.39999999999998",m,cadence,"49",rpm,speed,"1.7",m/s,temperature,"35",C,vertical_speed,"0.14",m/s,enhanced_altitude,"147.39999999999998",m,enhanced_speed,"1.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012933",s,distance,"85.0",m,altitude,"147.60000000000002",m,cadence,"49",rpm,speed,"1.7",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"147.60000000000002",m,enhanced_speed,"1.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012934",s,distance,"86.0",m,heart_rate,"108",bpm,altitude,"148.0",m,cadence,"49",rpm,speed,"1.7",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"148.0",m,enhanced_speed,"1.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012935",s,distance,"88.0",m,altitude,"148.0",m,cadence,"49",rpm,speed,"1.64",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"148.0",m,enhanced_speed,"1.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012936",s,distance,"89.0",m,heart_rate,"108",bpm,altitude,"148.20000000000005",m,cadence,"49",rpm,speed,"1.64",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"148.20000000000005",m,enhanced_speed,"1.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012937",s,distance,"91.0",m,heart_rate,"107",bpm,altitude,"148.20000000000005",m,cadence,"51",rpm,speed,"1.64",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"148.20000000000005",m,enhanced_speed,"1.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012938",s,distance,"92.0",m,heart_rate,"107",bpm,altitude,"148.60000000000002",m,cadence,"51",rpm,speed,"1.64",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"148.60000000000002",m,enhanced_speed,"1.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012939",s,distance,"94.0",m,heart_rate,"107",bpm,altitude,"149.0",m,cadence,"51",rpm,speed,"1.66",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"149.0",m,enhanced_speed,"1.66",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012940",s,distance,"96.0",m,heart_rate,"106",bpm,altitude,"149.20000000000005",m,cadence,"51",rpm,speed,"1.66",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"149.20000000000005",m,enhanced_speed,"1.66",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012941",s,distance,"98.0",m,heart_rate,"104",bpm,altitude,"149.20000000000005",m,cadence,"51",rpm,speed,"1.66",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"149.20000000000005",m,enhanced_speed,"1.66",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012942",s,distance,"100.0",m,heart_rate,"102",bpm,altitude,"149.20000000000005",m,cadence,"51",rpm,speed,"1.66",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"149.20000000000005",m,enhanced_speed,"1.66",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012943",s,distance,"101.0",m,heart_rate,"104",bpm,altitude,"149.39999999999998",m,cadence,"51",rpm,speed,"1.7",m/s,temperature,"35",C,vertical_speed,"0.16",m/s,enhanced_altitude,"149.39999999999998",m,enhanced_speed,"1.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
