Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,
Data,2,record,timestamp,"1061086463",s,position_lat,"433077014",semicircles,position_long,"1671908524",semicircles,distance,"394.0",m,heart_rate,"115",bpm,altitude,"484.79999999999995",m,cadence,"68",rpm,speed,"0.62",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"484.79999999999995",m,enhanced_speed,"0.62",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086464",s,distance,"398.0",m,heart_rate,"115",bpm,altitude,"485.0",m,cadence,"68",rpm,speed,"0.68",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"485.0",m,enhanced_speed,"0.68",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086465",s,distance,"398.0",m,heart_rate,"115",bpm,altitude,"485.4",m,cadence,"67",rpm,speed,"0.68",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"485.4",m,enhanced_speed,"0.68",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086466",s,distance,"401.0",m,heart_rate,"115",bpm,altitude,"485.4",m,cadence,"67",rpm,speed,"0.72",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"485.4",m,enhanced_speed,"0.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086467",s,position_lat,"433077243",semicircles,position_long,"1671908982",semicircles,distance,"403.0",m,heart_rate,"114",bpm,altitude,"485.6",m,cadence,"67",rpm,speed,"0.72",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"485.6",m,enhanced_speed,"0.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086468",s,distance,"403.0",m,heart_rate,"113",bpm,altitude,"485.6",m,cadence,"67",rpm,speed,"0.76",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"485.6",m,enhanced_speed,"0.76",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086469",s,position_lat,"433077396",semicircles,position_long,"1671909288",semicircles,distance,"403.0",m,heart_rate,"113",bpm,altitude,"485.6",m,cadence,"65",rpm,speed,"0.76",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"485.6",m,enhanced_speed,"0.76",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086470",s,position_lat,"433077625",semicircles,position_long,"1671909288",semicircles,distance,"405.0",m,heart_rate,"113",bpm,altitude,"485.79999999999995",m,cadence,"65",rpm,speed,"0.76",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"485.79999999999995",m,enhanced_speed,"0.76",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086471",s,distance,"405.0",m,heart_rate,"114",bpm,altitude,"485.79999999999995",m,cadence,"65",rpm,speed,"0.76",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"485.79999999999995",m,enhanced_speed,"0.76",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086472",s,distance,"405.0",m,heart_rate,"113",bpm,altitude,"486.0",m,cadence,"70",rpm,speed,"0.72",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"486.0",m,enhanced_speed,"0.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086473",s,position_lat,"433077816",semicircles,position_long,"1671909440",semicircles,distance,"405.0",m,heart_rate,"113",bpm,altitude,"486.0",m,cadence,"69",rpm,speed,"0.72",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"486.0",m,enhanced_speed,"0.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086474",s,distance,"405.0",m,heart_rate,"112",bpm,altitude,"486.20000000000005",m,cadence,"75",rpm,speed,"0.7",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"486.20000000000005",m,enhanced_speed,"0.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086475",s,distance,"405.0",m,heart_rate,"113",bpm,altitude,"486.4",m,cadence,"76",rpm,speed,"0.7",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"486.4",m,enhanced_speed,"0.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086476",s,distance,"405.0",m,heart_rate,"113",bpm,altitude,"486.6",m,cadence,"77",rpm,speed,"0.72",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"486.6",m,enhanced_speed,"0.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086477",s,distance,"405.0",m,heart_rate,"113",bpm,altitude,"486.6",m,cadence,"78",rpm,speed,"0.72",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"486.6",m,enhanced_speed,"0.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086478",s,distance,"408.0",m,heart_rate,"113",bpm,altitude,"486.79999999999995",m,cadence,"41",rpm,speed,"0.7",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"486.79999999999995",m,enhanced_speed,"0.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086479",s,distance,"408.0",m,heart_rate,"113",bpm,altitude,"486.79999999999995",m,cadence,"77",rpm,speed,"0.7",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"486.79999999999995",m,enhanced_speed,"0.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086480",s,distance,"408.0",m,heart_rate,"113",bpm,altitude,"487.0",m,cadence,"78",rpm,speed,"0.72",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"487.0",m,enhanced_speed,"0.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086481",s,position_lat,"433078083",semicircles,position_long,"1671909440",semicircles,distance,"408.0",m,heart_rate,"114",bpm,altitude,"487.20000000000005",m,cadence,"78",rpm,speed,"0.72",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"487.20000000000005",m,enhanced_speed,"0.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086482",s,distance,"410.0",m,heart_rate,"114",bpm,altitude,"487.20000000000005",m,cadence,"78",rpm,speed,"0.7",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"487.20000000000005",m,enhanced_speed,"0.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086483",s,distance,"410.0",m,heart_rate,"114",bpm,altitude,"487.20000000000005",m,cadence,"76",rpm,speed,"0.7",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"487.20000000000005",m,enhanced_speed,"0.7",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086484",s,distance,"412.0",m,heart_rate,"115",bpm,altitude,"487.20000000000005",m,cadence,"75",rpm,speed,"0.72",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"487.20000000000005",m,enhanced_speed,"0.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086485",s,position_lat,"433078274",semicircles,position_long,"1671909593",semicircles,distance,"412.0",m,heart_rate,"116",bpm,altitude,"487.4",m,cadence,"75",rpm,speed,"0.72",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"487.4",m,enhanced_speed,"0.72",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086486",s,distance,"412.0",m,heart_rate,"115",bpm,altitude,"487.4",m,cadence,"75",rpm,speed,"0.66",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"487.4",m,enhanced_speed,"0.66",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086487",s,position_lat,"433078274",semicircles,position_long,"1671909898",semicircles,distance,"412.0",m,heart_rate,"114",bpm,altitude,"487.4",m,cadence,"75",rpm,speed,"0.66",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"487.4",m,enhanced_speed,"0.66",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086488",s,distance,"412.0",m,heart_rate,"115",bpm,altitude,"487.6",m,cadence,"75",rpm,speed,"0.68",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"487.6",m,enhanced_speed,"0.68",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086489",s,distance,"412.0",m,heart_rate,"113",bpm,altitude,"487.79999999999995",m,cadence,"74",rpm,speed,"0.68",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"487.79999999999995",m,enhanced_speed,"0.68",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086490",s,distance,"412.0",m,heart_rate,"114",bpm,altitude,"488.20000000000005",m,cadence,"74",rpm,speed,"0.64",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"488.20000000000005",m,enhanced_speed,"0.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086491",s,distance,"412.0",m,heart_rate,"114",bpm,altitude,"488.4",m,cadence,"74",rpm,speed,"0.64",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"488.4",m,enhanced_speed,"0.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086492",s,distance,"415.0",m,heart_rate,"114",bpm,altitude,"488.6",m,cadence,"74",rpm,speed,"0.64",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"488.6",m,enhanced_speed,"0.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086493",s,distance,"415.0",m,heart_rate,"114",bpm,altitude,"488.6",m,cadence,"74",rpm,speed,"0.64",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"488.6",m,enhanced_speed,"0.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086494",s,distance,"415.0",m,heart_rate,"113",bpm,altitude,"488.79999999999995",m,cadence,"70",rpm,speed,"0.64",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"488.79999999999995",m,enhanced_speed,"0.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086495",s,position_lat,"433078351",semicircles,position_long,"1671910204",semicircles,distance,"415.0",m,heart_rate,"113",bpm,altitude,"488.79999999999995",m,cadence,"67",rpm,speed,"0.64",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"488.79999999999995",m,enhanced_speed,"0.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086496",s,distance,"415.0",m,heart_rate,"113",bpm,altitude,"489.0",m,cadence,"65",rpm,speed,"0.64",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"489.0",m,enhanced_speed,"0.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086497",s,distance,"415.0",m,heart_rate,"112",bpm,altitude,"489.20000000000005",m,cadence,"65",rpm,speed,"0.64",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"489.20000000000005",m,enhanced_speed,"0.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086498",s,distance,"415.0",m,heart_rate,"113",bpm,altitude,"489.4",m,cadence,"61",rpm,speed,"0.62",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"489.4",m,enhanced_speed,"0.62",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086499",s,distance,"415.0",m,heart_rate,"114",bpm,altitude,"489.6",m,cadence,"63",rpm,speed,"0.62",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"489.6",m,enhanced_speed,"0.62",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086500",s,distance,"415.0",m,heart_rate,"114",bpm,altitude,"489.79999999999995",m,cadence,"63",rpm,speed,"0.58",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"489.79999999999995",m,enhanced_speed,"0.58",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086501",s,distance,"415.0",m,heart_rate,"114",bpm,altitude,"490.0",m,cadence,"64",rpm,speed,"0.58",m/s,temperature,"30",C,vertical_speed,"0.1",m/s,enhanced_altitude,"490.0",m,enhanced_speed,"0.58",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086502",s,distance,"415.0",m,heart_rate,"113",bpm,altitude,"490.0",m,cadence,"64",rpm,speed,"0.56",m/s,temperature,"30",C,vertical_speed,"0.12",m/s,enhanced_altitude,"490.0",m,enhanced_speed,"0.56",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086503",s,distance,"415.0",m,heart_rate,"113",bpm,altitude,"490.20000000000005",m,cadence,"64",rpm,speed,"0.56",m/s,temperature,"29",C,vertical_speed,"0.12",m/s,enhanced_altitude,"490.20000000000005",m,enhanced_speed,"0.56",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086504",s,distance,"415.0",m,heart_rate,"112",bpm,altitude,"490.4",m,cadence,"62",rpm,speed,"0.52",m/s,temperature,"29",C,vertical_speed,"0.12",m/s,enhanced_altitude,"490.4",m,enhanced_speed,"0.52",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086505",s,distance,"415.0",m,heart_rate,"111",bpm,altitude,"490.6",m,cadence,"62",rpm,speed,"0.52",m/s,temperature,"29",C,vertical_speed,"0.12",m/s,enhanced_altitude,"490.6",m,enhanced_speed,"0.52",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086506",s,distance,"415.0",m,heart_rate,"112",bpm,altitude,"490.79999999999995",m,cadence,"62",rpm,speed,"0.5",m/s,temperature,"29",C,vertical_speed,"0.12",m/s,enhanced_altitude,"490.79999999999995",m,enhanced_speed,"0.5",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086507",s,distance,"415.0",m,heart_rate,"110",bpm,altitude,"490.79999999999995",m,cadence,"62",rpm,speed,"0.5",m/s,temperature,"29",C,vertical_speed,"0.12",m/s,enhanced_altitude,"490.79999999999995",m,enhanced_speed,"0.5",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086508",s,distance,"415.0",m,heart_rate,"110",bpm,altitude,"491.0",m,cadence,"63",rpm,speed,"0.48",m/s,temperature,"29",C,vertical_speed,"0.12",m/s,enhanced_altitude,"491.0",m,enhanced_speed,"0.48",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086509",s,distance,"415.0",m,heart_rate,"110",bpm,altitude,"491.20000000000005",m,cadence,"65",rpm,speed,"0.48",m/s,temperature,"29",C,vertical_speed,"0.12",m/s,enhanced_altitude,"491.20000000000005",m,enhanced_speed,"0.48",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086510",s,distance,"415.0",m,heart_rate,"111",bpm,altitude,"491.4",m,cadence,"65",rpm,speed,"0.46",m/s,temperature,"29",C,vertical_speed,"0.12",m/s,enhanced_altitude,"491.4",m,enhanced_speed,"0.46",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086511",s,distance,"415.0",m,heart_rate,"110",bpm,altitude,"491.6",m,cadence,"66",rpm,speed,"0.46",m/s,temperature,"29",C,vertical_speed,"0.12",m/s,enhanced_altitude,"491.6",m,enhanced_speed,"0.46",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086512",s,distance,"415.0",m,heart_rate,"110",bpm,altitude,"491.79999999999995",m,cadence,"67",rpm,speed,"0.44",m/s,temperature,"29",C,vertical_speed,"0.12",m/s,enhanced_altitude,"491.79999999999995",m,enhanced_speed,"0.44",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086513",s,distance,"415.0",m,heart_rate,"108",bpm,altitude,"492.0",m,cadence,"67",rpm,speed,"0.44",m/s,temperature,"29",C,vertical_speed,"0.14",m/s,enhanced_altitude,"492.0",m,enhanced_speed,"0.44",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086514",s,distance,"415.0",m,heart_rate,"108",bpm,altitude,"492.6",m,cadence,"67",rpm,speed,"0.44",m/s,temperature,"29",C,vertical_speed,"0.14",m/s,enhanced_altitude,"492.6",m,enhanced_speed,"0.44",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086515",s,distance,"417.0",m,heart_rate,"107",bpm,altitude,"492.6",m,cadence,"67",rpm,speed,"0.44",m/s,temperature,"29",C,vertical_speed,"0.14",m/s,enhanced_altitude,"492.6",m,enhanced_speed,"0.44",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086516",s,distance,"419.0",m,heart_rate,"106",bpm,altitude,"492.6",m,cadence,"67",rpm,speed,"0.52",m/s,temperature,"29",C,vertical_speed,"0.14",m/s,enhanced_altitude,"492.6",m,enhanced_speed,"0.52",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086517",s,distance,"419.0",m,heart_rate,"106",bpm,altitude,"492.6",m,cadence,"68",rpm,speed,"0.52",m/s,temperature,"29",C,vertical_speed,"0.14",m/s,enhanced_altitude,"492.6",m,enhanced_speed,"0.52",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086518",s,position_lat,"433078580",semicircles,position_long,"1671910357",semicircles,distance,"421.0",m,heart_rate,"105",bpm,altitude,"492.6",m,cadence,"69",rpm,speed,"0.52",m/s,temperature,"29",C,vertical_speed,"0.14",m/s,enhanced_altitude,"492.6",m,enhanced_speed,"0.52",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086519",s,position_lat,"433078771",semicircles,position_long,"1671910509",semicircles,distance,"421.0",m,heart_rate,"106",bpm,altitude,"492.6",m,cadence,"69",rpm,speed,"0.52",m/s,temperature,"29",C,vertical_speed,"0.16",m/s,enhanced_altitude,"492.6",m,enhanced_speed,"0.52",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086520",s,distance,"424.0",m,heart_rate,"106",bpm,altitude,"492.6",m,cadence,"69",rpm,speed,"0.58",m/s,temperature,"29",C,vertical_speed,"0.16",m/s,enhanced_altitude,"492.6",m,enhanced_speed,"0.58",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086521",s,position_lat,"433079000",semicircles,position_long,"1671910509",semicircles,distance,"424.0",m,heart_rate,"106",bpm,altitude,"493.0",m,cadence,"69",rpm,speed,"0.58",m/s,temperature,"29",C,vertical_speed,"0.16",m/s,enhanced_altitude,"493.0",m,enhanced_speed,"0.58",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086522",s,distance,"424.0",m,heart_rate,"105",bpm,altitude,"493.20000000000005",m,cadence,"69",rpm,speed,"0.58",m/s,temperature,"29",C,vertical_speed,"0.16",m/s,enhanced_altitude,"493.20000000000005",m,enhanced_speed,"0.58",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086523",s,position_lat,"433079076",semicircles,position_long,"1671910815",semicircles,distance,"426.0",m,heart_rate,"104",bpm,altitude,"493.4",m,cadence,"72",rpm,speed,"0.58",m/s,temperature,"29",C,vertical_speed,"0.18",m/s,enhanced_altitude,"493.4",m,enhanced_speed,"0.58",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086524",s,distance,"426.0",m,heart_rate,"103",bpm,altitude,"493.6",m,cadence,"72",rpm,speed,"0.62",m/s,temperature,"29",C,vertical_speed,"0.16",m/s,enhanced_altitude,"493.6",m,enhanced_speed,"0.62",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086525",s,distance,"426.0",m,heart_rate,"103",bpm,altitude,"493.79999999999995",m,cadence,"72",rpm,speed,"0.62",m/s,temperature,"29",C,vertical_speed,"0.16",m/s,enhanced_altitude,"493.79999999999995",m,enhanced_speed,"0.62",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061086526",s,position_lat,"433079076",semicircles,position_long,"1671911120",semicircles,distance,"426.0",m,heart_rate,"102",bpm,altitude,"494.0",m,cadence,"72",rpm,speed,"0.62",m/s,temperature,"29",C,vertical_speed,"0.16",m/s,enhanced_altitude,"494.0",m,enhanced_speed,"0.62",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086527",s,distance,"428.0",m,heart_rate,"103",bpm,altitude,"494.0",m,cadence,"72",rpm,speed,"0.62",m/s,temperature,"29",C,vertical_speed,"0.16",m/s,enhanced_altitude,"494.0",m,enhanced_speed,"0.62",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061086528",s,distance,"428.0",m,heart_rate,"104",bpm,altitude,"494.20000000000005",m,cadence,"71",rpm,speed,"0.64",m/s,temperature,"29",C,vertical_speed,"0.16",m/s,enhanced_altitude,"494.20000000000005",m,enhanced_speed,"0.64",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
